DATE,LFWA64TTUSM647S
1977-01-01,135235386.982318
1977-02-01,135427306.08635
1977-03-01,135636537.859173
1977-04-01,135781938.387768
1977-05-01,136111158.71645
1977-06-01,136278554.889859
1977-07-01,136561614.39866897
1977-08-01,136711743.7322
1977-09-01,136884797.83663598
1977-10-01,137163235.890745
1977-11-01,137298601.724459
1977-12-01,137432457.273904
1978-01-01,137650087.931551
1978-02-01,137892780.483331
1978-03-01,138047683.932394
1978-04-01,138159749.04718402
1978-05-01,138348911.742293
1978-06-01,138601195.795954
1978-07-01,138833019.960941
1978-08-01,138970157.816292
1978-09-01,139166968.65473503
1978-10-01,139392559.174984
1978-11-01,139566245.71121198
1978-12-01,139771291.522728
1979-01-01,140016597.157287
1979-02-01,140222732.76321
1979-03-01,140433322.079465
1979-04-01,140487937.80818897
1979-05-01,140729445.454589
1979-06-01,141072874.5453
1979-07-01,141188522.390105
1979-08-01,141344098.612176
1979-09-01,141457991.160047
1979-10-01,141679107.0286
1979-11-01,141883989.333603
1979-12-01,142022625.84663498
1980-01-01,142288581.65940902
1980-02-01,142433425.48017898
1980-03-01,142649912.53176
1980-04-01,142881145.231022
1980-05-01,143319604.418385
1980-06-01,143617704.692493
1980-07-01,143759813.69422302
1980-08-01,144021646.991675
1980-09-01,144028631.31496
1980-10-01,144078283.946898
1980-11-01,144204465.97657698
1980-12-01,144232002.034911
1981-01-01,144337497.239322
1981-02-01,144423065.96487302
1981-03-01,144557739.928002
1981-04-01,144683531.654378
1981-05-01,144951733.90257
1981-06-01,145393723.888773
1981-07-01,145395751.397151
1981-08-01,145507441.618527
1981-09-01,145550291.296504
1981-10-01,145776368.957439
1981-11-01,146002861.77244702
1981-12-01,146186635.448324
1982-01-01,146030921.019328
1982-02-01,146096551.827875
1982-03-01,146251351.25046298
1982-04-01,146500909.84562302
1982-05-01,146735561.881218
1982-06-01,146961808.119735
1982-07-01,147029675.260378
1982-08-01,147169646.52873
1982-09-01,147342504.07528198
1982-10-01,147569991.639568
1982-11-01,147679963.996333
1982-12-01,147859523.570205
1983-01-01,147390673.266741
1983-02-01,147508780.267106
1983-03-01,147817671.79161602
1983-04-01,148156439.712805
1983-05-01,148337895.04211
1983-06-01,148195788.149587
1983-07-01,148378487.25560102
1983-08-01,148529067.078317
1983-09-01,148699808.575528
1983-10-01,148870269.606171
1983-11-01,148897316.67699
1983-12-01,149038731.652401
1984-01-01,149128764.170975
1984-02-01,149260102.459048
1984-03-01,149428792.312956
1984-04-01,149610086.080942
1984-05-01,149690588.88497898
1984-06-01,149813489.483042
1984-07-01,149961989.72215
1984-08-01,150083286.373969
1984-09-01,150269748.192867
1984-10-01,150339562.601754
1984-11-01,150472406.959827
1984-12-01,150687449.354373
1985-01-01,150527342.69862902
1985-02-01,150675280.54586
1985-03-01,150802682.299326
1985-04-01,150935109.477456
1985-05-01,151000237.77189198
1985-06-01,151276744.785874
1985-07-01,151296716.143944
1985-08-01,151394591.82602498
1985-09-01,151484879.734018
1985-10-01,151629231.315711
1985-11-01,151774082.433166
1985-12-01,151936358.494576
1986-01-01,152287536.84611902
1986-02-01,152445658.696855
1986-03-01,152599367.86547202
1986-04-01,152760696.678938
1986-05-01,152925361.166162
1986-06-01,153049846.27083
1986-07-01,153139592.620679
1986-08-01,153288992.032874
1986-09-01,153450544.89277998
1986-10-01,153576458.035744
1986-11-01,153744046.33614102
1986-12-01,153806912.743616
1987-01-01,153837692.475605
1987-02-01,154051084.793729
1987-03-01,154187899.887673
1987-04-01,154347320.583107
1987-05-01,154530670.060269
1987-06-01,154681263.04560998
1987-07-01,154723186.41452402
1987-08-01,154819366.778967
1987-09-01,154923578.829805
1987-10-01,155027420.865301
1987-11-01,155187330.51604
1987-12-01,155252884.308445
1988-01-01,155403169.104353
1988-02-01,155492618.25780398
1988-03-01,155617928.618912
1988-04-01,155643892.253841
1988-05-01,155835839.222988
1988-06-01,155977721.704288
1988-07-01,156063648.990686
1988-08-01,156130648.766687
1988-09-01,156288242.88028798
1988-10-01,156419736.292669
1988-11-01,156520132.269477
1988-12-01,156636373.97249702
1989-01-01,156753268.871511
1989-02-01,156828907.52665898
1989-03-01,156869201.499925
1989-04-01,156918445.811471
1989-05-01,156981789.625514
1989-06-01,157004041.829896
1989-07-01,157129754.65980202
1989-08-01,157272756.373434
1989-09-01,157647677.703152
1989-10-01,157678305.746358
1989-11-01,157808921.808462
1989-12-01,157913686.94505
1990-01-01,159257688.98629498
1990-02-01,159384900.305634
1990-03-01,159426854.293715
1990-04-01,159536368.596135
1990-05-01,159597652.773218
1990-06-01,159721613.753999
1990-07-01,159805661.830049
1990-08-01,159973363.054104
1990-09-01,160219979.841312
1990-10-01,160240895.006966
1990-11-01,160488842.919537
1990-12-01,160674858.630993
1991-01-01,160537757.974861
1991-02-01,160712577.314111
1991-03-01,160914485.861989
1991-04-01,160971814.706059
1991-05-01,161131469.64733398
1991-06-01,161196679.48605
1991-07-01,161197474.38651899
1991-08-01,161399234.344933
1991-09-01,161519493.44058502
1991-10-01,161642788.95014
1991-11-01,161824572.594853
1991-12-01,162038913.234786
1992-01-01,161794638.166338
1992-02-01,162028462.16080898
1992-03-01,162199967.887394
1992-04-01,162315956.372224
1992-05-01,162466579.88991898
1992-06-01,162373928.788408
1992-07-01,162419224.644995
1992-08-01,162805733.75709
1992-09-01,163063763.509803
1992-10-01,163266078.09180802
1992-11-01,163404334.374062
1992-12-01,163525557.088319
1993-01-01,163370424.60566598
1993-02-01,163535442.635517
1993-03-01,163678770.49376398
1993-04-01,163884243.934039
1993-05-01,164007241.677527
1993-06-01,163999676.056676
1993-07-01,164138911.85988402
1993-08-01,164350442.509943
1993-09-01,164584904.653775
1993-10-01,164779130.44871598
1993-11-01,164826379.54096302
