"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1961",0.0365579919425851,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1962",5.46488426315054,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1963",6.14292842490441,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1964",6.20135805693389,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1965",5.01911987114066,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1966",2.93053587945356,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1967",7.19140296198554,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1968",5.33764872859439,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1969",6.21359223300968,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1970",6.95457121381332,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1971",3.88811418259372,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1972",2.27675761035412,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1973",4.35304230982696,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1974",1.622155529385,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1975",2.48283325135262,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1976",3.83800917313188,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1977",1.48596679362497,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1978",2.01750055110519,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1979",4.58148725559004,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.71521414691292,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1981",4.18169092991661,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1982",-0.356959920597483,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1983",-0.194092664834656,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1984",6.58246046416102,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1985",5.02185904229691,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1986",1.85862095657487,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1987",5.29074840271317,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.43171717846764,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1989",4.31058756072967,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1990",1.405009987583,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1991",-1.33085207686253,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1992",2.98063433824183,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1993",4.09362087238174,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1994",4.73867667566207,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1995",3.08026693753618,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1996",4.04928308955981,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1997",4.16277999323817,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1998",4.99107409963768,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1999",4.20544212872864,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.30932256020788,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2001",2.72715084572037,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2002",3.94023798377292,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2003",2.92140565762613,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.9700024321076,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2005",3.06008893653158,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2006",2.75686737713066,
